soc_delta,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
-0.225,0.001,0.755,90.95570186920123,242.6864787998899,90.95570186920123,224.9973050722394,1.2555144972017232e-13
-0.22,0.001,0.76,93.17126865524084,242.2995659235936,93.17126865524084,223.6698333346157,-6.760462677240048e-14
-0.215,0.001,0.765,95.95673377074874,241.98614650671297,95.95673377074874,222.14769939213414,-1.9315607649257278e-14
-0.21,0.004391524712761913,0.77,98.9001314136398,241.95787788268612,98.9001314136398,220.82205205970172,-1.8349827266794416e-13
-0.205,0.009391524712761917,0.775,101.55906814888611,242.22171753433773,101.55906814888611,219.90251504249423,3.8631215298514557e-14
-0.2,0.014391524712761894,0.78,104.21641589812914,242.91425744468614,104.21641589812914,219.4225948421252,-2.0281388031720143e-13
-0.195,0.0193915247127619,0.7849999999999999,108.59168692185304,247.17646199835704,108.59168692185304,222.0451505831449,2.3178729179108734e-13
-0.19,0.024391524712761903,0.79,121.20879782818398,268.7957237873872,121.20879782818398,239.91575282884568,-2.0281388031720143e-13
-0.185,0.029391524712761907,0.7949999999999999,133.49847752124586,290.4512563248189,133.49847752124586,257.9536563031721,-1.0623584207091504e-13
-0.18,0.03439152471276191,0.8,143.2373352172888,307.1440416648416,143.2373352172888,271.6993340626068,1.5452486119405823e-13
-0.175,0.039391524712761916,0.8049999999999999,152.35501454724135,322.9100767489761,152.35501454724135,284.7083897751162,1.5452486119405823e-13
-0.17,0.04439152471276189,0.8099999999999999,160.0364558615511,335.8877517399868,160.0364558615511,295.3115550807601,7.726243059702911e-14
-0.165,0.0493915247127619,0.815,167.332800326785,348.2901465797261,167.332800326785,305.45991576526603,5.794682294777183e-14
-0.16,0.0543915247127619,0.82,173.7337960145874,358.9784367396415,173.7337960145874,314.1370499740495,-5.794682294777183e-14
-0.155,0.059391524712761906,0.825,179.84192553065978,369.2380022532158,179.84192553065978,322.48036239338734,-3.8631215298514557e-14
-0.15,0.06439152471276191,0.83,185.3008868633919,378.27426075239873,185.3008868633919,329.7802263256761,5.794682294777183e-14
-0.145,0.06939152471276192,0.835,190.46025921969655,386.9109150577029,190.46025921969655,336.78620198689106,-1.3520925354480096e-13
-0.14,0.07439152471276189,0.84,195.00537178250744,394.39288013200223,195.00537178250744,342.8099311204124,-7.726243059702911e-14
-0.135,0.0793915247127619,0.845,199.23453603888268,401.37652333394317,199.23453603888268,348.4375311774187,-7.726243059702911e-14
-0.13,0.0843915247127619,0.85,202.52787871751875,406.48314152117075,202.52787871751875,352.435813564828,7.726243059702911e-14
-0.125,0.0893915247127619,0.855,205.47147200882964,410.96111958293045,205.47147200882964,355.90801620556454,1.1589364589554367e-13
-0.12,0.09439152471276191,0.86,207.245107277375,413.0593648840655,207.245107277375,357.30589755560555,1.1589364589554367e-13
-0.115,0.0993915247127619,0.865,208.8610275580422,414.84665115106196,208.8610275580422,358.4338364868049,-7.726243059702911e-14
-0.11,0.1043915247127619,0.87,210.08485495440897,415.847322757069,210.08485495440897,358.8779034198217,2.1247168414183007e-13
-0.105,0.10939152471276191,0.875,211.24375271108983,416.7423112804563,211.24375271108983,359.2356203829357,-1.3520925354480096e-13
-0.1,0.1143915247127619,0.88,212.2561842409233,417.36010654362,212.2561842409233,359.35605015859284,-7.726243059702911e-14
-0.095,0.1193915247127619,0.885,213.23332468783525,417.94129277901516,213.23332468783525,359.4530198125572,1.9315607649257278e-13
-0.09,0.12439152471276191,0.89,214.1616856550434,418.42158660942493,214.1616856550434,359.45986777126984,2.1247168414183007e-13
-0.085,0.12939152471276189,0.895,215.07651452210965,418.8942722562956,215.07651452210965,359.4641904698607,1.9315607649257278e-14
-0.08,0.1343915247127619,0.9,215.97041745845047,419.32470040770204,215.97041745845047,359.4300810377892,-3.8631215298514557e-14
-0.075,0.1393915247127619,0.905,216.86894020280664,419.77862528892206,216.86894020280664,359.41891578597904,9.657803824628639e-14
-0.07,0.1443915247127619,0.9099999999999999,217.77146078560176,420.25572751531075,217.77146078560176,359.43075463394644,2.1247168414183007e-13
-0.065,0.1493915247127619,0.915,218.69012564136176,420.7832051352171,218.69012564136176,359.49010371751774,-3.8631215298514557e-14
-0.06,0.1543915247127619,0.9199999999999999,219.70184936915243,421.5243186457875,219.70184936915243,359.7413634732176,-1.1589364589554367e-13
-0.055,0.1593915247127619,0.9249999999999999,220.77295028827638,422.41303911162504,220.77295028827638,360.12786622605233,1.1589364589554367e-13
-0.05,0.16439152471276192,0.9299999999999999,222.1675439579529,423.9726012554677,222.1675439579529,361.1015771594177,1.9315607649257278e-13
-0.045,0.16939152471276192,0.9349999999999999,223.56805238164912,425.5774323391611,223.56805238164912,362.1235657488607,1.3520925354480096e-13
-0.04,0.1743915247127619,0.94,224.987604466185,427.2280991444544,224.987604466185,363.18649002289624,-1.5452486119405823e-13
-0.035,0.1793915247127619,0.945,226.3495750848021,428.8177280570928,226.3495750848021,364.2121823264239,2.3178729179108734e-13
-0.03,0.1843915247127619,0.95,227.55614182344198,430.1187568688831,227.55614182344198,364.9936264222473,0.0
-0.025,0.1893915247127619,0.955,228.72322978156413,431.36647274279375,228.72322978156413,365.7358581884599,1.3520925354480096e-13
-0.02,0.19439152471276192,0.96,229.79515259308695,432.44116930208514,229.79515259308695,366.33257124104404,1.5452486119405823e-13
-0.015,0.1993915247127619,0.965,230.84492332121013,433.4951569902511,230.84492332121013,366.9178007549198,9.657803824628639e-14
-0.01,0.2043915247127619,0.97,231.8701435401412,434.4971002819574,231.8701435401412,367.45607450157047,-1.9315607649257278e-13
-0.005,0.2093915247127619,0.975,232.89545726399794,435.50361382316476,232.89545726399794,367.9987821159596,9.657803824628639e-14
