s0,q_assumed_ah,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.91,1.6,0.001,0.91,24.657647214412478,287.988060890119,24.657647214412478,286.93052059531846,-1.9315607649257278e-13
0.92,1.6,0.001,0.92,27.63136090596498,286.3738959443094,27.63136090596498,285.03774517212,-8.692023442165776e-14
0.93,1.6,0.001,0.93,31.410018271831174,283.5711182065938,31.410018271831174,281.82616953203836,-1.2555144972017232e-13
0.94,1.6,0.001,0.94,35.38722658534406,280.64032707804455,35.38722658534406,278.40031856495654,1.5935376310637256e-13
0.95,1.6,0.001,0.95,38.88265494832031,278.4730122592197,38.88265494832031,275.74509551557463,2.0281388031720143e-13
0.96,1.6,0.001,0.96,42.175443740846845,276.5729059012987,42.175443740846845,273.33825971486556,-2.221294879664587e-13
0.97,1.6,0.001,0.97,45.358035789657556,274.7929356346395,45.358035789657556,271.0236263944663,-1.448670573694296e-13
0.98,1.6,0.001,0.98,48.38175154086399,273.2110139531098,48.38175154086399,268.89303498440495,1.9315607649257278e-13
0.99,1.6,0.001,0.99,51.683985982082696,271.1680648501125,51.683985982082696,266.1970792243197,-1.2555144972017232e-13
0.2,1.65,0.001,0.2,-188.96271556197928,435.594371838886,-188.96271556197928,392.47362829259777,-1.9315607649257278e-13
0.21,1.65,0.001,0.21,-186.86717764667424,434.1295225427925,-186.86717764667424,391.8534168048037,-9.657803824628639e-14
0.22,1.65,0.001,0.22,-184.7885777529889,432.7201504845238,-184.7885777529889,391.279836136973,-1.3520925354480096e-13
0.23,1.65,0.001,0.23,-181.23293371050798,429.67683372899444,-181.23293371050798,389.58542732250214,1.1589364589554367e-13
0.24,1.65,0.001,0.24,-178.36258928018796,427.4490478206831,-178.36258928018796,388.4578165362046,1.5452486119405823e-13
0.25,1.65,0.001,0.25,-175.8687401056788,425.65748621073914,-175.8687401056788,387.62673001340704,5.794682294777183e-14
0.26,1.65,0.001,0.26,-173.4304607769115,423.9345163131881,-173.4304607769115,386.8363341212986,0.0
0.27,1.65,0.001,0.27,-171.11919647710323,422.36157817042647,-171.11919647710323,386.14443322627847,-1.3520925354480096e-13
0.28,1.65,0.001,0.28,-168.91036408791916,420.88964621458945,-168.91036408791916,385.5092517623006,1.3520925354480096e-13
0.29,1.65,0.001,0.29,-165.5012464208181,418.01780915825003,-165.5012464208181,383.8596438890376,1.9315607649257278e-14
