trajectory_id,split,amplitude,phase,v0,t,u,v,dv
test_interp_2,test_interp,0.62,2.55,0,3.96,-0.3605125033893403,-0.86269176086074,0.1178332283208713
test_interp_2,test_interp,0.62,2.55,0,3.98,-0.3530397289336341,-0.8602847318983443,0.1228324505838069
test_interp_2,test_interp,0.62,2.55,0,4,-0.3456955207544786,-0.8577799445941594,0.1276094131544318
test_interp_2,test_interp,0.62,2.55,0,4.02,-0.3384830152037231,-0.8551818225494708,0.1321663028907036
test_interp_2,test_interp,0.62,2.55,0,4.04,-0.3314051184484247,-0.8524947439889619,0.1365054697615354
test_interp_2,test_interp,0.62,2.55,0,4.06,-0.3244645043844001,-0.8497230385479321,0.1406294219309562
test_interp_2,test_interp,0.62,2.55,0,4.08,-0.3176636128201999,-0.8468709841561867,0.1445408210054125
test_interp_2,test_interp,0.62,2.55,0,4.1,-0.3110046479332499,-0.8439428040154231,0.1482424774351622
test_interp_2,test_interp,0.62,2.55,0,4.12,-0.3044895769996156,-0.8409426636671278,0.1517373460603148
test_interp_2,test_interp,0.62,2.55,0,4.14,-0.2981201293985354,-0.837874668148186,0.1550285217917575
test_interp_2,test_interp,0.62,2.55,0,4.16,-0.2918977958925613,-0.8347428592316085,0.158119235416956
test_interp_2,test_interp,0.62,2.55,0,4.18,-0.2858238281838623,-0.8315512127499776,0.1610128495204131
test_interp_2,test_interp,0.62,2.55,0,4.2,-0.2798992387469165,-0.8283036359994235,0.1637128545084634
test_interp_2,test_interp,0.62,2.55,0,4.22,-0.2741248009375316,-0.825003965222149,0.1662228647279883
test_interp_2,test_interp,0.62,2.55,0,4.24,-0.2685010493778207,-0.8216559631657268,0.1685466146686265
test_interp_2,test_interp,0.62,2.55,0,4.26,-0.2630282806164612,-0.8182633167176038,0.1706879552380786
test_interp_2,test_interp,0.62,2.55,0,4.28,-0.2577065540632553,-0.8148296346134563,0.1726508501001854
test_interp_2,test_interp,0.62,2.55,0,4.3,-0.2525356931967201,-0.8113584452182391,0.1744393720655661
test_interp_2,test_interp,0.62,2.55,0,4.32,-0.2475152870431184,-0.8078531943789814,0.1760576995247786
test_interp_2,test_interp,0.62,2.55,0,4.34,-0.2426446919250644,-0.8043172433485761,0.1775101129141407
test_interp_2,test_interp,0.62,2.55,0,4.36,-0.2379230334775127,-0.8007538667800063,0.1788009912046104
