trajectory_id,split,x0,model,nrmse_all,nrmse_theta,nrmse_omega
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B0_gain_scheduled_lookup,1.526867694578003,1.447650247607742,1.662553389361525
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B1_full_sindy,0.001429495125344659,0.001426284603410514,0.001444314133982619
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B2_free_residual_sindy,0.001429435648165393,0.001426232286767052,0.001444242200999806
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B3_slot_constrained,0.001440197792042524,0.001436501032814648,0.001455906141069918
test_extrap_ic4,test_extrap,"[2.4, -0.2]",B4_oracle_reference,0,0,0
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B0_local_linear,1.687266858280974,1.585749083612845,1.857766851226399
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B0_gain_scheduled_lookup,1.526867694578003,1.447650247607742,1.662553389361525
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B1_full_sindy,0.001429495125342894,0.001426284603408999,0.001444314133980424
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B2_free_residual_sindy,0.001429435648163185,0.001426232286764957,0.001444242200997392
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B3_slot_constrained,0.001440197792042524,0.001436501032814648,0.001455906141069918
test_extrap_ic5,test_extrap,"[-2.4, 0.2]",B4_oracle_reference,0,0,0
