t,x1,x2,dx1,dx2,split
16.79,1.667035899495954,-0.421352764693202,-0.421352764693202,-0.1678554394309679,future
16.8,1.6628139513781,-0.4230396423686834,-0.4230396423686834,-0.1695261173466895,future
16.81,1.658575050354079,-0.4247434078792403,-0.4247434078792403,-0.1712330518531666,future
16.82,1.65431902571751,-0.4264644253214072,-0.4264644253214072,-0.1729765585491174,future
16.83,1.650045703114242,-0.4282030621169619,-0.4282030621169619,-0.1747569889235887,future
16.84,1.645754904508945,-0.4299596894664005,-0.4299596894664005,-0.1765747294293178,future
16.85,1.641446448107024,-0.4317346824823831,-0.4317346824823831,-0.1784302018002402,future
16.86,1.637120148372903,-0.4335284207760549,-0.4335284207760549,-0.180323861694633,future
16.87,1.63277581593036,-0.4353412886486701,-0.4353412886486701,-0.1822561989701685,future
16.88,1.628413257535273,-0.4371736754180256,-0.4371736754180256,-0.1842277374153429,future
16.89,1.624032276044147,-0.4390259759184374,-0.4390259759184374,-0.186239033977103,future
16.9,1.61963267030501,-0.4408985906006819,-0.4408985906006819,-0.1882906795179955,future
16.91,1.615214235160517,-0.4427919260673553,-0.4427919260673553,-0.1903832979839484,future
16.92,1.610776761342244,-0.4447063953341386,-0.4447063953341386,-0.1925175467414499,future
16.93,1.606320035407976,-0.4466424180701627,-0.4466424180701627,-0.1946941169488241,future
16.94,1.60184383971306,-0.4486004211475763,-0.4486004211475763,-0.1969137329390791,future
16.95,1.597347952273253,-0.4505808387517169,-0.4505808387517169,-0.1991771532663869,future
16.96,1.592832146747309,-0.4525841128533855,-0.4525841128533855,-0.2014851704375653,future
16.97,1.588296192331786,-0.4546106935753196,-0.4546106935753196,-0.2038386112145272,future
16.98,1.583739853659023,-0.4566610393644504,-0.4566610393644504,-0.2062383375640353,future
16.99,1.579162890768608,-0.4587356175835474,-0.4587356175835474,-0.208685246248852,future
17,1.57456505894925,-0.4608349046815141,-0.4608349046815141,-0.211180270016698,future
17.01,1.569946108690107,-0.4629593865869628,-0.4629593865869628,-0.2137243779617002,future
17.02,1.565305785584759,-0.4651095592027229,-0.4651095592027229,-0.2163185757548063,future
17.03,1.560643830185415,-0.4672859285534952,-0.4672859285534952,-0.2189639070558433,future
17.04,1.555959977966821,-0.4694890113742755,-0.4694890113742755,-0.2216614534934305,future
17.05,1.55125395915993,-0.4717193354151121,-0.4717193354151121,-0.2244123357990961,future
17.06,1.546525498656208,-0.4739774397429511,-0.4739774397429511,-0.227217714872789,future
17.07,1.541774315928129,-0.4762638753583991,-0.4762638753583991,-0.2300787920068976,future
17.08,1.537000124838644,-0.478579205396676,-0.478579205396676,-0.2329968105711404,future
17.09,1.532202633583647,-0.4809240056457083,-0.4809240056457083,-0.2359730566262441,future
17.1,1.527381544533708,-0.4832988650515034,-0.4832988650515034,-0.2390088598627296,future
17.11,1.52253655407832,-0.4857043859557192,-0.4857043859557192,-0.2421055953363802,future
17.12,1.517667352553667,-0.4881411847794119,-0.4881411847794119,-0.2452646839248964,future
17.13,1.512773624027248,-0.4906098923779581,-0.4906098923779581,-0.2484875940385174,future
17.14,1.507855046189068,-0.4931111544517731,-0.4931111544517731,-0.2517758430492827,future
17.15,1.502911290221178,-0.4956456322437282,-0.4956456322437282,-0.2551309981190339,future
17.16,1.497942020572695,-0.4982140028402322,-0.4982140028402322,-0.2585546783306283,future
17.17,1.492946894873954,-0.5008169597839579,-0.5008169597839579,-0.2620485558382781,future
17.18,1.487925563726876,-0.503455213699015,-0.503455213699015,-0.2656143573480012,future
17.19,1.482877670517158,-0.5061294926297872,-0.5061294926297872,-0.2692538663607258,future
17.2,1.47780285130254,-0.5088405428302388,-0.5088405428302388,-0.2729689242636271,future
17.21,1.472700734548408,-0.5115891292842949,-0.5115891292842949,-0.2767614325036138,future
17.22,1.467570940979604,-0.5143760361928381,-0.5143760361928381,-0.2806333547061657,future
17.23,1.462413083410888,-0.5172020678269312,-0.5172020678269312,-0.2845867180962172,future
17.24,1.457226766464394,-0.520068049010754,-0.520068049010754,-0.28862361614053,future
17.25,1.452011586442254,-0.5229748257915064,-0.5229748257915064,-0.2927462105562482,future
17.26,1.446767131075939,-0.525923266301625,-0.525923266301625,-0.2969567332759633,future
17.27,1.441492979270443,-0.5289142612454794,-0.5289142612454794,-0.3012574893974214,future
17.28,1.436188700954235,-0.5319487247766113,-0.5319487247766113,-0.3056508591818088,future
17.29,1.430853856761508,-0.5350275953266747,-0.5350275953266747,-0.3101393006624038,future
17.3,1.425487997811826,-0.5381518361676865,-0.5381518361676865,-0.3147253527628826,future
17.31,1.420090665507872,-0.5413224364591203,-0.5413224364591203,-0.3194116374999942,future
17.32,1.414661391175902,-0.5445404120501238,-0.5445404120501238,-0.3242008631999149,future
17.33,1.409199695867849,-0.5478068061882473,-0.5478068061882473,-0.3290958277181413,future
17.34,1.40370509008883,-0.551122690670653,-0.551122690670653,-0.3340994210894217,future
17.35,1.398177073424159,-0.5544891666625129,-0.5544891666625129,-0.3392146292415328,future
17.36,1.392615134341952,-0.5579073655800212,-0.5579073655800212,-0.3444445373763454,future
17.37,1.387018749835221,-0.5613784503412629,-0.5613784503412629,-0.349792333173824,future
17.38,1.381387385068417,-0.5649036161944051,-0.5649036161944051,-0.355261310991883,future
17.39,1.375720493143606,-0.5684840918276421,-0.5684840918276421,-0.3608548754663827,future
17.4,1.370017514666802,-0.572121140697026,-0.572121140697026,-0.3665765453602452,future
17.41,1.364277877420935,-0.5758160618944874,-0.5758160618944874,-0.3724299582290018,future
17.42,1.35850099606914,-0.579570191504,-0.579570191504,-0.3784188743565728,future
17.43,1.352686271662862,-0.5833849039939406,-0.5833849039939406,-0.3845471813020445,future
17.44,1.346833091329017,-0.5872616131841923,-0.5872616131841923,-0.3908188990154713,future
17.45,1.340940827899348,-0.5912017738232188,-0.5912017738232188,-0.3972381842798551,future
17.46,1.335008839372699,-0.5952068830687717,-0.5952068830687717,-0.4038093359585244,future
17.47,1.329036468600478,-0.599278481601168,-0.599278481601168,-0.410536800595906,future
17.48,1.323023042831596,-0.6034181554083119,-0.6034181554083119,-0.4174251775142106,future
17.49,1.316967873144662,-0.6076275373711628,-0.6076275373711628,-0.424479224779315,future
17.5,1.310870254113639,-0.6119083085564049,-0.6119083085564049,-0.4317038653642578,future
17.51,1.304729463251531,-0.6162622002497125,-0.6162622002497125,-0.4391041929869073,future
17.52,1.298544760438059,-0.6206909956072293,-0.6206909956072293,-0.4466854788791541,future
17.53,1.292315387534277,-0.6251965312025966,-0.6251965312025966,-0.4544531785746107,future
17.54,1.286040567722962,-0.6297806993220709,-0.6297806993220709,-0.4624129385946949,future
17.55,1.279719504943181,-0.6344454496698799,-0.6344454496698799,-0.4705706040913071,future
