noise_level,seed,model,term,dx1_coefficient,dx2_coefficient
0.05,0,B1_full_sindy,x1^4,0.001035984032910011,-0.00421957371031069
0.05,0,B2_free_residual_sindy,x1^4,0.001035984032909864,-0.004219573710310766
0.05,0,B1_full_sindy,x1^3*x2,0,0.001682382115209472
0.05,0,B2_free_residual_sindy,x1^3*x2,0,0.001682382115209494
0.05,0,B1_full_sindy,x1^3*mu,-0.002272574007417205,-0.008346496071493376
0.05,0,B2_free_residual_sindy,x1^3*mu,-0.002272574007417108,-0.008346496071493226
0.05,0,B1_full_sindy,x1^2*x2^2,0.001093332349342976,-0.006403281719940208
0.05,0,B2_free_residual_sindy,x1^2*x2^2,0.001093332349342786,-0.006403281719940149
0.05,0,B1_full_sindy,x1^2*x2*mu,-0.005996605847189288,-0.9005893680780578
0.05,0,B2_free_residual_sindy,x1^2*x2*mu,-0.005996605847189957,-0.9005893680780578
0.05,0,B1_full_sindy,x1*x2^2*mu,-0.001420169454739384,-0.0273939532168484
0.05,0,B2_free_residual_sindy,x1*x2^2*mu,-0.001420169454739079,-0.0273939532168484
0.05,0,B1_full_sindy,x2^3*mu,0.002024472470903094,-0.003596364199846838
0.05,0,B2_free_residual_sindy,x2^3*mu,0.00202447247090282,-0.00359636419984678
0.05,0,B1_full_sindy,x2*mu^3,-0.001998152296037659,0.004238805660117972
0.05,0,B2_free_residual_sindy,x2*mu^3,-0.001998152296037857,0.004238805660118046
0.05,0,B1_full_sindy,mu^4,0,0.002256360259402901
0.05,0,B2_free_residual_sindy,mu^4,0,0.002256360259401968
