model,split,record,filename,temperature_c,amplitude_token,tau_s,dynamic_gain_ohm,n_score,s0,soc_min,soc_max,r0_min_ohm,r0_max_ohm,dynamic_correction_min_v,dynamic_correction_max_v,dynamic_correction_rms_mv,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT4c_R0T_qtau100s_no_intercept,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,100.0,0.01689429189431583,37360,0.98,0.10327855413367737,0.98,0.006854743244735878,0.006854743244735878,-8.703747484759256e-05,0.04205829075030659,6.436159640208349,13.668749462694201,10.327851421419824,241.07267976905166,-10.23636310017068,0.37164024150019165
BATT4c_R0T_qtau100s_no_intercept,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,100.0,0.01689429189431583,37360,0.9749747511731174,0.09384422383082491,0.9749747511731174,0.07067874020544751,0.07067874020544751,-6.236511778552958e-05,0.042096687565321436,6.448895396352042,27.685566672760377,18.33998060926275,334.52337722388893,-4.708345655060537,0.4481828686490217
BATT4c_R0T_qtau100s_no_intercept,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,100.0,0.01689429189431583,37360,0.98,0.1039873313569255,0.98,0.12147634023036406,0.12147634023036406,-8.942808194042485e-05,0.04206927763633923,6.43557103471493,74.28334126991241,51.57729073439855,387.29369810562275,-4.175066773194191,0.43333602233850665
BATT4c_R0T_qtau100s_no_intercept,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,100.0,0.01689429189431583,37360,0.9817458453334182,0.10735806057075226,0.9817458453334182,0.03381778049442643,0.03381778049442643,-9.65218487747886e-05,0.04205280734139479,6.432421696549183,12.19884562476479,7.833143691376035,249.7063376889197,-4.77071587702343,0.30261298484232557
BATT4c_R0T_qtau100s_no_intercept,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,100.0,0.01689429189431583,37360,0.9809374736577922,0.10008527582713245,0.9809374736577922,0.010893461097300793,0.010893461097300793,-6.330326631437867e-05,0.04209560245629732,6.453448062763489,9.878509281112116,5.291949610585431,253.5414695739746,-3.3150374446900304,0.25689500124566944
BATT4c_R0T_qtau100s_no_intercept,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,100.0,0.01689429189431583,37360,0.9899999993016378,0.11181460578635716,0.9899999993016378,0.025740344789296613,0.025740344789296613,-8.161281403147175e-05,0.042066778497943914,6.438327073953494,15.967219380295068,10.054642164593888,267.03413126398965,-9.647898479134653,0.41131293948485115
BATT4c_R0T_qtau100s_no_intercept,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,100.0,0.01689429189431583,37360,0.9727110925993573,0.09810928586897005,0.9727110925993573,0.07067874020544751,0.07067874020544751,-9.749330605743246e-05,0.04205506891118472,6.47875280051236,31.050449153212025,20.730566551973823,328.41780882885183,-3.939644241065101,0.4821036515442237
BATT4c_R0T_qtau100s_no_intercept,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,100.0,0.01689429189431583,37360,0.98,0.10636804492140428,0.98,0.12147634023036406,0.12147634023036406,-0.0001690506320686855,0.04206117382069574,6.48052464314606,76.29588493731526,55.13047230676788,385.5998046034999,-6.5357524561468505,0.44679944354660095
BATT4c_R0T_qtau100s_no_intercept,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,100.0,0.01689429189431583,37360,0.98,0.10588108887532754,0.98,0.12147634023036406,0.12147634023036406,-0.0014590484709612426,0.04206203315589991,6.553558231736233,82.06446773566363,59.781677441789626,370.8057053376788,-12.003898973617554,0.47201796072420155
BATT4c_R0T_qtau100s_no_intercept,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,100.0,0.01689429189431583,37360,0.987880517521542,0.11042228314591163,0.987880517521542,0.0019057820140706075,0.0019057820140706075,-0.0014519742835110872,0.042079245509777014,6.563376017324304,13.183809078594445,9.100550063630328,224.39885139465332,-5.031922235088754,0.3496050762470125
BATT4c_R0T_qtau100s_no_intercept,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,100.0,0.01689429189431583,39460,0.98,0.15983632560968197,0.98,0.0019057820140706075,0.0019057820140706075,-0.010203278035190668,0.01925146576278184,5.5965449143341655,22.4500995069826,12.85303157286971,261.43831964685836,-2.310530430942717,0.49811296366471475
BATT4c_R0T_qtau100s_no_intercept,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,100.0,0.01689429189431583,47086,0.98,0.2143915247127619,0.98,0.0019057820140706075,0.0019057820140706075,-0.0027803596997488015,0.01928810619499735,4.067592405836459,436.2821879778235,243.30857853135404,1315.5728404227707,231.4782903071028,1.094827309792553
